MCC|MNC|NetType|Organisation|Network|PPCIN|AbrevNetName
366|110|GSM 850|Cable & Wireless Dominica Limited|FLOW|FLOW|FLOW
238|06|3G 2100|HI3G Denmark ApS|3 DK|3 DK|3 DK
238|20|GSM 900|Telia Nattjanster Norden AB|Telia DK|Telia DK|Telia
238|20|GSM 1800|Telia Nattjanster Norden AB|Telia DK|Telia DK|Telia
238|20|3G 2100|Telia Nattjanster Norden AB|Telia DK|Telia DK|Telia
238|66|3G 2100|Telia Nattjanster Norden AB|Telia DK|Telia-Telenor DK|TT DK
238|66|GSM 900|Telia Nattjanster Norden AB|Telia DK|Telia-Telenor DK|TT DK
238|66|GSM 1800|Telia Nattjanster Norden AB|Telia DK|Telia-Telenor DK|TT DK
238|01|GSM 900|TDC A/S|TDC Denmark|TDC|TDC
238|01|GSM 1800|TDC A/S|TDC Denmark|TDC|TDC
238|01|3G 2100|TDC A/S|TDC Denmark|TDC|TDC
238|01|3G 900|TDC A/S|TDC Denmark|TDC|TDC
238|01|LTE 2600|TDC A/S|TDC Denmark|TDC|TDC
238|01|LTE-FDD 800|TDC A/S|TDC Denmark|TDC|TDC
238|01|LTE-FDD 1800|TDC A/S|TDC Denmark|TDC|TDC
238|77|GSM 900|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|77|GSM 1800|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|77|3G 900|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|77|3G 2100|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|GSM 900|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|GSM 1800|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|3G 900|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|3G 2100|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|LTE 800|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|LTE 1800|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|02|LTE 2600|Telenor A/S|Telenor DK|Telenor DK|TelenoDK
238|66|GSM 900|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|GSM 1800|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|3G 900|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|3G 2100|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|LTE 800|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|LTE 1800|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
238|66|LTE 2600|Telenor A/S|Telia-Telenor DK|Telia-Telenor DK|TT DK
370|04|GSM 900|Trilogy Dominicana S.A.|Viva DO|Viva DO|Viva
370|02|LTE 2100|"Compañia Dominicana de Teléfonos, S.A."|CLARO GSM|CLARO DOM|ClaroDOM
370|02|GSM 850|"Compañia Dominicana de Teléfonos, S.A."|CLARO GSM|CLARO DOM|ClaroDOM
370|02|GSM 1900|"Compañia Dominicana de Teléfonos, S.A."|CLARO GSM|CLARO DOM|ClaroDOM
370|02|3G 850|"Compañia Dominicana de Teléfonos, S.A."|CLARO GSM|CLARO DOM|ClaroDOM
370|01|3G 850|"Altice Dominicana, S.A."|ALTICE|ALTICE|ALTICE
370|01|3G 900|"Altice Dominicana, S.A."|ALTICE|ALTICE|ALTICE
370|01|GSM 900|"Altice Dominicana, S.A."|ALTICE|ALTICE|ALTICE
370|01|GSM 1800|"Altice Dominicana, S.A."|ALTICE|ALTICE|ALTICE
370|01|GSM 1900|"Altice Dominicana, S.A."|ALTICE|ALTICE|ALTICE
370|05|LTE-TDD 2600|"Wind Telecom, S.A."|Wind Telecom|Wind Telecom DO|Wind
603|02|GSM 900|Optimum Telecom Algeria Spa|Djezzy|Djezzy|Djezzy
603|02|GSM 1800|Optimum Telecom Algeria Spa|Djezzy|Djezzy|Djezzy
603|01|GSM 900|ATM Mobilis|Mobilis|ALG Mobilis|Mobilis
603|01|GSM 1800|ATM Mobilis|Mobilis|ALG Mobilis|Mobilis
603|03|GSM 900|Wataniya Télécom Algérie|Wataniya Télécom Algérie|ooredoo Algeria|Ooredoo
603|03|GSM 1800|Wataniya Télécom Algérie|Wataniya Télécom Algérie|ooredoo Algeria|Ooredoo
740|00|GSM 850|Otecel Sociedad Anónima|MOVISTAR|Movistar|Movistar
740|00|3G 850|Otecel Sociedad Anónima|MOVISTAR|Movistar|Movistar
740|00|3G 1900|Otecel Sociedad Anónima|MOVISTAR|Movistar|Movistar
740|00|GSM 1900|Otecel Sociedad Anónima|MOVISTAR|Movistar|Movistar
740|00|LTE 1900|Otecel Sociedad Anónima|MOVISTAR|Movistar|Movistar
740|01|3G 850|Conecel S.A. (Consorcio Ecuatoriano de Telecomunicaciones S.A.)|Claro Ecuador|CLARO|CLARO
740|01|GSM 850|Conecel S.A. (Consorcio Ecuatoriano de Telecomunicaciones S.A.)|Claro Ecuador|CLARO|CLARO
740|02|GSM 1900|Corporación Nacional de Telecomunicaciones CNT E.P.|CNT|CNT|CNT
740|02|3G 1900|Corporación Nacional de Telecomunicaciones CNT E.P.|CNT|CNT|CNT
740|02|LTE 1700|Corporación Nacional de Telecomunicaciones CNT E.P.|CNT|CNT|CNT
740|02|LTE 2100|Corporación Nacional de Telecomunicaciones CNT E.P.|CNT|CNT|CNT
602|03|3G 2100|Etisalat - Misr|Etisalat|Etisalat|Etisalat
602|03|GSM 900|Etisalat - Misr|Etisalat|Etisalat|Etisalat
602|03|GSM 1800|Etisalat - Misr|Etisalat|Etisalat|Etisalat
602|02|GSM 900|Vodafone Egypt Telecommunications S.A.E|vodafone|vodafone EG|voda EG
602|01|GSM 900|Orange Egypt for Telecommunications|Orange|Orange EG|Orange
602|01|3G 2100|Orange Egypt for Telecommunications|Orange|Orange EG|Orange
602|04|LTE 700|Telecom Egypt|we|EGYwe|we
602|04|LTE 1800|Telecom Egypt|we|EGYwe|we
214|04|3G 2100|"Xfera Móviles, S.A."|YOIGO|YOIGO|YOIGO
214|04|LTE 1800|"Xfera Móviles, S.A."|YOIGO|YOIGO|YOIGO
214|03|GSM 900|"Orange Espagne, S.A., sociedad unipersonal"|"Orange Espagne, S.A.U, sociedad unipersonal"|Orange SP|ESPRT
214|03|GSM 1800|"Orange Espagne, S.A., sociedad unipersonal"|"Orange Espagne, S.A.U, sociedad unipersonal"|Orange SP|ESPRT
214|03|3G 2100|"Orange Espagne, S.A., sociedad unipersonal"|"Orange Espagne, S.A.U, sociedad unipersonal"|Orange SP|ESPRT
214|07|GSM 900|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|07|GSM 1800|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|07|3G 2100|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|07|LTE 800|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|07|LTE 1800|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|07|LTE 2600|Telefónica Móviles España S.A.|Movistar|Movistar|Movistar
214|01|3G 2100|"Vodafone España, S.A.U."|vodafone|vodafone ES|voda ES
214|01|GSM 900|"Vodafone España, S.A.U."|vodafone|vodafone ES|voda ES
214|01|GSM 1800|"Vodafone España, S.A.U."|vodafone|vodafone ES|voda ES
248|03|GSM 900|Tele2 Eesti Aktsiaselts|Tele2|Tele2 EE|Tele2 EE
248|03|GSM 1800|Tele2 Eesti Aktsiaselts|Tele2|Tele2 EE|Tele2 EE
248|03|3G 2100|Tele2 Eesti Aktsiaselts|Tele2|Tele2 EE|Tele2 EE
248|02|GSM 900|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|02|GSM 1800|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|02|3G 2100|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|02|LTE 800|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|02|LTE 1800|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|02|LTE 2600|Elisa Eesti AS|Elisa Eesti|Elisa EE|ELISA
248|01|GSM 900|Telia Eesti AS|Telia|Telia|Telia
248|01|GSM 1800|Telia Eesti AS|Telia|Telia|Telia
248|01|3G 2100|Telia Eesti AS|Telia|Telia|Telia
248|01|LTE 2600|Telia Eesti AS|Telia|Telia|Telia
248|01|LTE 800|Telia Eesti AS|Telia|Telia|Telia
248|01|LTE 1800|Telia Eesti AS|Telia|Telia|Telia
636|01|GSM 900|Ethio Telecom|ETH MTN|ETH MTN|ET-MTN
244|12|GSM 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|GSM 1800|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|3G 2100|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|GSM 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|GSM 1800|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|3G 2100|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|GSM 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|GSM 1800|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|GSM 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|GSM 1800|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|03|3G 900|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|LTE 800|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|LTE 1800|DNA Plc|DNA Ltd|FI DNA|DNA
244|12|LTE 2600|DNA Plc|DNA Ltd|FI DNA|DNA
244|36|GSM 900|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|GSM 1800|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|3G 900|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|3G 2100|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 800|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 1800|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 2600|DNA Plc|DNA Ltd - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|GSM 900|DNA Plc|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|GSM 1800|DNA Plc|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 800|DNA Plc|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 2600|DNA Plc|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 1800|DNA Plc|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|91|GSM 900|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|91|GSM 1800|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|91|3G 2100|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|91|LTE 800|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|91|LTE 1800|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|91|LTE 2600|Telia Finland Oyj|SONERA|FI SONERA|SONERA
244|36|GSM 900|Telia Finland Oyj|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|GSM 1800|Telia Finland Oyj|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 800|Telia Finland Oyj|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 1800|Telia Finland Oyj|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|36|LTE 2600|Telia Finland Oyj|Sonera - SuomenYV|DNA - Sonera FI|SuomenYV
244|05|LTE 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|LTE 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|3G 900|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|3G 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|GSM 900|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|GSM 1800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|LTE 1800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|LTE 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|3G 900|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|3G 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|GSM 900|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|GSM 1800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|LTE 1800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|LTE 2100|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|LTE 700|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|LTE 700|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|21|LTE 800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|05|LTE 800|Elisa Corporation|Elisa Corporation|FI elisa|elisa
244|14|GSM 900|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
244|14|3G 2100|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
244|14|3G 900|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
244|14|LTE 800|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
244|14|LTE 1800|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
244|14|LTE 2600|Ålands Telekommunikation Ab|Alands Telekommunikation Ab|FI AMT|FI AMT
542|02|3G 900|Digicel (Fiji) Ltd|Digicel (Fiji) Limited|DIGICEL|DIGICEL
542|02|GSM 900|Digicel (Fiji) Ltd|Digicel (Fiji) Limited|DIGICEL|DIGICEL
542|01|GSM 900|Vodafone Fiji Pte Limited|VODAFONE|FJ VODAFONE|VODAFONE
542|01|3G 2100|Vodafone Fiji Pte Limited|VODAFONE|FJ VODAFONE|VODAFONE
542|01|LTE 1800|Vodafone Fiji Pte Limited|VODAFONE|FJ VODAFONE|VODAFONE
750|001|GSM 900|Sure South Atlantic Limited|Sure South Atlantic Limited|Sure FLK|Sure
750|001|GSM 1800|Sure South Atlantic Limited|Sure South Atlantic Limited|Sure FLK|Sure
208|15|3G 900|Free Mobile|Free Mobile|Free|Free
208|15|3G 2100|Free Mobile|Free Mobile|Free|Free
208|10|GSM 900|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|10|GSM 1800|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|10|LTE 800|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|10|LTE 2600|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|10|3G 900|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|10|3G 2100|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|09|GSM 900|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|09|3G 900|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|09|GSM 1800|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|09|3G 2100|Société Française du Radiotéléphone S.A.|SFR|F SFR|SFR
208|13|GSM 900|Société Française du Radiotéléphone S.A.|SFR (Contact)|F - Contact|Contact
208|13|GSM 1800|Société Française du Radiotéléphone S.A.|SFR (Contact)|F - Contact|Contact
208|11|3G 2100|Société Française du Radiotéléphone S.A.|SFR (FEMTO)|SFR FEMTO|SFRFEMTO
208|01|3G 900|Orange|Orange France|Orange F|Orange
208|01|3G 2100|Orange|Orange France|Orange F|Orange
208|02|GSM 900|Orange|Orange France|F-Contact|Contact
208|02|GSM 1800|Orange|Orange France|F-Contact|Contact
208|20|3G 2100|Bouygues Télécom |Bouygues Telecom|F-Bouygues Telecom|BYTEL
208|20|GSM 900|Bouygues Télécom |Bouygues Telecom|F-Bouygues Telecom|BYTEL
208|20|GSM 1800|Bouygues Télécom |Bouygues Telecom|F-Bouygues Telecom|BYTEL
208|88|GSM 900|Bouygues Télécom |Bouygues Telecom (Contact)|F - Contact|Contact
208|88|GSM 1800|Bouygues Télécom |Bouygues Telecom (Contact)|F - Contact|Contact
288|02|GSM 900|P/F Kall|VODAFONE FO|VODAFONE FO|VODAFONE
288|02|3G 2100|P/F Kall|VODAFONE FO|VODAFONE FO|VODAFONE
288|02|GSM 900|P/F Kall|VODAFONE FO|VODAFONE FO|VODAFONE
288|02|3G 2100|P/F Kall|VODAFONE FO|VODAFONE FO|VODAFONE
288|02|LTE 1800|P/F Kall|VODAFONE FO|VODAFONE FO|VODAFONE
288|01|GSM 900|Føroya Tele (Faroese Telecom)|Faroese Telecom|Foroya Tele|FT-GSM
288|01|3G 900|Føroya Tele (Faroese Telecom)|Faroese Telecom|Foroya Tele|FT-GSM
288|01|3G 2100|Føroya Tele (Faroese Telecom)|Faroese Telecom|Foroya Tele|FT-GSM
288|01|LTE 800|Føroya Tele (Faroese Telecom)|Faroese Telecom|Foroya Tele|FT-GSM
288|01|3G 1800|Føroya Tele (Faroese Telecom)|Faroese Telecom|Foroya Tele|FT-GSM
550|01|GSM 900|Federated States of Micronesia Telecommunications Corporation|FSM Telecommunications Corporation|FSM Telecom|FSM Tele
628|01|GSM 900|Libertis S.A.|LIBERTIS|LIBERTIS|LIBERTIS
628|04|GSM 900|USAN-Gabon |AZUR GABON|AZUR|AZUR
628|04|GSM 1800|USAN-Gabon |AZUR GABON|AZUR|AZUR
628|02|GSM 900|Atlantique Telecom Gabon S.A.|ETISALAT GABON|ETISALAT GAB|ETISALAT
234|28|3G 1900|Marathon Telecom Limited|Marathon Telecom Limited|Marathon|Marathon
234|28|3G 2100|Marathon Telecom Limited|Marathon Telecom Limited|Marathon|Marathon
234|55|3G 2100|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|55|GSM 900|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|55|GSM 1800|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|55|3G 900|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|55|LTE 800|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|55|LTE 1800|Sure (Isle of Man) Limited|Sure|Sure|Sure
234|03|GSM 900|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|GSM 1800|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|3G 2100|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|LTE 800|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|LTE 1800|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|LTE 2600|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|03|3G 900|Jersey Airtel Limited|Airtel-Vodafone|Airtel-Vodafone|ATL-VOD
234|55|3G 2100|Sure (Jersey) Limited|Sure|Sure|Sure
234|55|GSM 900|Sure (Jersey) Limited|Sure|Sure|Sure
234|55|GSM 1800|Sure (Jersey) Limited|Sure|Sure|Sure
234|55|3G 900|Sure (Jersey) Limited|Sure|Sure|Sure
234|55|LTE 1800|Sure (Jersey) Limited|Sure|Sure|Sure
234|15|3G 2100|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|15|GSM 900|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|15|GSM 1800|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|15|LTE 800|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|15|LTE 2600|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|15|3G 900|Vodafone Ltd|vodafone|vodafone UK|voda UK
234|58|3G 2100|Manx Telecom|Manx Telecom|Manx Telecom|MANX
234|58|GSM 900|Manx Telecom|Manx Telecom|Manx Telecom|MANX
234|50|3G 2100|JT (Jersey) Limited|JT|JT|JT
234|50|GSM 900|JT (Jersey) Limited|JT|JT|JT
234|50|GSM 1800|JT (Jersey) Limited|JT|JT|JT
234|50|LTE 800|JT (Jersey) Limited|JT|JT|JT
234|50|LTE 2600|JT (Jersey) Limited|JT|JT|JT
234|50|LTE 1800|JT (Jersey) Limited|JT|JT|JT
234|55|LTE 800|Sure (Guernsey) Limited |Sure|Sure|Sure
234|55|GSM 900|Sure (Guernsey) Limited |Sure|Sure|Sure
234|55|3G 2100|Sure (Guernsey) Limited |Sure|Sure|Sure
234|55|3G 900|Sure (Guernsey) Limited |Sure|Sure|Sure
234|55|LTE 1800|Sure (Guernsey) Limited |Sure|Sure|Sure
234|10|GSM 900|Telefónica UK Limited|O2 (UK)|O2 - UK|O2 - UK
234|10|GSM 1800|Telefónica UK Limited|O2 (UK)|O2 - UK|O2 - UK
234|10|3G 2100|Telefónica UK Limited|O2 (UK)|O2 - UK|O2 - UK
234|33|GSM 1800|EE Limited|Orange|EE|EE
234|33|3G 2100|EE Limited|Orange|EE|EE
234|30|3G 2100|EE Limited|T-Mobile|EE|EE
234|30|GSM 1800|EE Limited|T-Mobile|EE|EE
234|20|3G 2100|Hutchison 3G UK Limited|3|3 UK|3 UK
234|20|LTE 800|Hutchison 3G UK Limited|3|3 UK|3 UK
234|20|LTE 1400|Hutchison 3G UK Limited|3|3 UK|3 UK
234|20|LTE 1800|Hutchison 3G UK Limited|3|3 UK|3 UK
234|20|LTE 2100|Hutchison 3G UK Limited|3|3 UK|3 UK
282|04|3G 2100|Veon Georgia LLC|"Mobitel, Georgia"|BEELINE|BEE
282|04|GSM 900|Veon Georgia LLC|"Mobitel, Georgia"|BEELINE|BEE
282|04|GSM 1800|Veon Georgia LLC|"Mobitel, Georgia"|BEELINE|BEE
282|04|LTE 2100|Veon Georgia LLC|"Mobitel, Georgia"|BEELINE|BEE
282|02|GSM 900|Magticom Ltd|Magticom LTD|MAGTI-GSM-GEO|MAGTI
282|02|GSM 1800|Magticom Ltd|Magticom LTD|MAGTI-GSM-GEO|MAGTI
282|01|GSM 900|Silknet JSC|GEOCELL|GEO-GEOCELL|GCELL
282|01|GSM 1800|Silknet JSC|GEOCELL|GEO-GEOCELL|GCELL
282|01|3G 2100|Silknet JSC|GEOCELL|GEO-GEOCELL|GCELL
620|07|GSM 900|Glo Mobile Ghana Limited|Glo Ghana|Glo Ghana|GloGhana
620|07|GSM 1800|Glo Mobile Ghana Limited|Glo Ghana|Glo Ghana|GloGhana
620|07|3G 2100|Glo Mobile Ghana Limited|Glo Ghana|Glo Ghana|GloGhana
620|02|GSM 900|Vodafone Ghana|Vodafone Ghana|GH Vodafone|Vodafone
620|01|GSM 900|Scancom PLC|MTN|GH MTN|MTN
620|01|3G 2100|Scancom PLC|MTN|GH MTN|MTN
620|01|GSM 1800|Scancom PLC|MTN|GH MTN|MTN
620|06|GSM 900|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
620|06|GSM 1800|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
620|06|3G 2100|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
620|03|GSM 900|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
620|03|GSM 1800|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
620|03|3G 2100|Airtel Ghana Limited|AirtelTigo|AirtelTigo|ATL-TIGO
266|01|GSM 900|Gibtelecom Limited|GIBTEL|GIBTEL|GIBTEL
266|01|GSM 1800|Gibtelecom Limited|GIBTEL|GIBTEL|GIBTEL
266|01|3G 2100|Gibtelecom Limited|GIBTEL|GIBTEL|GIBTEL
266|01|LTE 800|Gibtelecom Limited|GIBTEL|GIBTEL|GIBTEL
266|01|LTE 2600|Gibtelecom Limited|GIBTEL|GIBTEL|GIBTEL
611|05|GSM 900|Cellcom - Guinée S.A.|Cellcom Guinée|GINCL|Cellcom
611|05|GSM 1800|Cellcom - Guinée S.A.|Cellcom Guinée|GINCL|Cellcom
611|05|3G 2100|Cellcom - Guinée S.A.|Cellcom Guinée|GINCL|Cellcom
611|04|GSM 900|Areeba Guinée S.A.|MTN|GNMTN|GNAreeba
611|04|GSM 1800|Areeba Guinée S.A.|MTN|GNMTN|GNAreeba
611|01|GSM 900|Orange Guinée S.A.|Orange Guinee|Orange GN|ORANGEGN
611|01|GSM 1800|Orange Guinée S.A.|Orange Guinee|Orange GN|ORANGEGN
340|02|GSM 900|Outremer Télécom|Outremer|SFR|SFR
340|02|GSM 1800|Outremer Télécom|Outremer|SFR|SFR
340|20|3G 2100|Digicel Antilles Française Guyane|Digicel|Digicel|DigicelF
340|20|GSM 900|Digicel Antilles Française Guyane|Digicel|Digicel|DigicelF
340|01|GSM 900|Orange Caraïbe|Orange|F-Orange|Orange
607|03|GSM 900|Comium Gambia Ltd.|Comium Gambia|GM COMIUM|GMCOMIUM
607|03|GSM 1800|Comium Gambia Ltd.|Comium Gambia|GM COMIUM|GMCOMIUM
607|02|GSM 900|Africell (Gambia) Limited|AFRICELL|AFRICELL|AFRICELL
607|02|GSM 1800|Africell (Gambia) Limited|AFRICELL|AFRICELL|AFRICELL
607|01|GSM 900|Gambia Telecommunications Cellular Company Ltd (Gamcell)|GAMCELL|GAMCEL|GAMCEL
607|04|GSM 900|QCell|Qcell|Qcell|QC
607|04|3G 2100|QCell|Qcell|Qcell|QC
632|02|GSM 900|Spacetel Guinée-Bissau SA|MTN|MTN|MTN
632|02|GSM 1800|Spacetel Guinée-Bissau SA|MTN|MTN|MTN
632|03|GSM 1900|Orange Bissau|Orange Bissau|Orange GB|OrangeGB
632|03|GSM 1800|Orange Bissau|Orange Bissau|Orange GB|OrangeGB
627|03|GSM 900|Muni S.A.|Green Com|GNQ-Muni|Muni-GQ
627|03|GSM 1800|Muni S.A.|Green Com|GNQ-Muni|Muni-GQ
627|01|GSM 900|Guinea Ecuatorial de Telecomunicaciones Sociedad Anonima|GETESA|GETESA|GETESA
202|10|GSM 1800|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|10|GSM 900|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|10|3G 2100|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|09|GSM 1800|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|09|GSM 900|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|09|3G 2100|Wind Hellas Telecommunications S.A.|WIND|WIND GR|WIND
202|05|GSM 900|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|GSM 1800|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|3G 900|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|3G 2100|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|LTE 800|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|LTE 1800|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
202|05|LTE 2600|Vodafone-Panafon Hellenic Telecommunications Company S.A.|vodafone|vodafone GR|voda GR
